AAID,Android Advertising ID,A type of MUID. We accept both raw AAID and SHA1 AAID.
AC,AIF Connector,(Anonymously Identified Fields Connector) OW service that matches customer data from source to target identifiers using mappings from AIM
ADA,Audience Destination Account,
AIC,AutoImport Config,
AIM,Anonymous Identifier Mapping,OI service that provides mappings between identifiers
AIR,Auto Import Request,
AMP,Audience Management Platform,"A company that focuses on helping publishers to group their audience into segments. Segments are groups of website visitiors such as: ""parents with children aged 0-5"" or ""adults 18-24 who attend college."""
ANA,Ad Network Account,Destination. Structure that manages our cookie pools.
AP,Audience Propensities,Acronym Glossary
API,Application Programming Interface,A way to interact with a piece of software.
APM,Actions per Thousand,"The number of “actions” or ""conversions"" that occur per thousand visitors."
ASH,Acxiom Save Haven,Abilitec / CLINK / ASHID / PEL Definitions
B2B,Business to Business,Describes commerce transactions between businesses (i.e. a manufacturer and a wholesaler).
B2C,Business to Consumer,Describes transactions between a business and a consumer (i.e. a grocery store and a shopper).
BANG,Big Anonymized Graph,
BD,Business Development,
CAP,Creative Approval,An ad can run on a platform.
CDN,Content Delivery Network,A network of servers that quickly delivers static content in the form of creative images or flash files.
CDS,Customer Data Set,
CI,Customer Implementation,Team at LiveRamp that works with customers and their data whilst maintaining unfathomable levels of awesomeness. (Now called PO or Product Operations)
CID,Custom ID,"Externally referred to as ""Partner ID"". For more information, see Custom ID / PEL Integrations . Visible in Admin / rails as encrypted_custom_ID ."
CLINK,CustomerLink,"Deprecated term for IdentityLink, refers to the actual ID rather than the workflow itself"
CPA,Cost per Acquisition,"Advertising cost model based on a visitor taking some specifically defined action in response to an ad. In this case, an ""acquistion"" can be a sale, completed registration form, etc."
CPC,Cost per Click,An internet advertising cost model in which the advertiser pays the publisher when an ad is clicked. See also PPC.
CPL,Cost per Lead,Advertising cost model based the number of leads collected from a lead form after an ad is viewed. Also known as cost per inquiry (CPI).
CPM,Cost per Thousand,"Advertising cost model based on ad impressions. (The advertiser pays for every 1000 impressions served. The total price paid in a CPM deal is calculated by multiplying the CPM rate by the number of CPM units. For example, one million impressions at $10 CPM equal a $10,000 total price.)"
CRM,Customer Relationship Management/Database,A technology used to organize and manage a comapny's interactions with current and prospective customers. The information maintained CRM databases can map individuals to defined attributes or segments.
CSM,Customer Success Manager,
CSO,Customer Success Operations,
CST,Client-side tag,
CSV,Comma Separated Values,"A common file format used in data onboarding. In a CSV file, each piece of data is separated by commas."
CTR,Click-Through Rate,The ratio of clicks to ad impressions. This is the most commonly used metric to determine the success of an ad campaign. (To calculate CTR: Number of clicks / Number of ad impressions expressed as a percentage).
CTV,Connected TV,Connected TV (CTV) refers to any TV that can be connected to the internet and access content beyond what is available via the normal offering from a cable provider. It also refers to devices that use a television as a display and can connect to the internet to access content. Connected TV is also called IPTV.
DAA,Digital Advertising Alliance,A premier online advertising association made up of various other industry organizations that are dedicated to self-regulation. Read more at the DAA's website (http://www.aboutads.info/).
DA,Destination Account,A way to group together SSAs that share the same fields. Field configuration takes place within the Destination Account. Destination Accounts include both 'Accounts' and 'Campaigns' configured via Connect.
DFP,DoubleClick For Publishers,
DBM,DoubleClick Bid Manager,"Same as Google's DCM (DoubleClick Campaign Manager). This is is the part of the DoubleClick Digital Marketing platform (DDM) that you use to manage your digital display campaigns across websites and mobile devices. DCM includes a robust set of features for ad serving, targeting, verification, reporting, and attribution modeling."
DBM DT,DoubleClick Data Transfer," Data Transfer Files contain information related to views (also referred to as impressions), clicks and conversions from a partner's account. AKA (less officially) Google impression files. "
DCM,DoubleClick Campaign Manager,See DBM.
DCO,Dynamic Creative Optimization,A combination of dynamic ad creatives and automatic optimization processes. This allows advertisers to serve a tailored creative for each impression in real time.
DDL,Data-Driven Linear,
DDS,Data Distribution Service,"A flexible service that efficiently ingests, stores, and segments online data from a given platform then matches and distributes the respective data to any platform of choice. Aka: A DDS audience takes Mobile, Cookie, and CID input files (in contrast to an Onboarding audience, which takes PII and/or email input files)."
